Langauge,Code,uganda,ethio,kenya,sa,glotto_code,lang_family_auto,lang_family_auto_code,lang_family_manual,lang_family_manual_code
Ndebele or isiNdebele,72,0,0,0,1,sout2808,Atlantic-Congo,2,Atlantic-Congo,2
Ndrulo,73,1,0,0,0,ndru1234,Central Sudanic,3,Nilo-Saharan,7
Ng'akarimojong,74,1,0,0,0,kara1483,Nilotic,11,Nilo-Saharan,7
Nu,75,0,0,0,1,nuuu1241,Tuu,15,Khoisan,6
Nubi,76,1,0,0,0,nubi1253,Afro-Asiatic,1,Afro-Asiatic,1
Nuerigna,77,0,1,0,0,nuer1246,Nilotic,11,Nilo-Saharan,7
Nyole,78,1,0,0,0,nyol1238,Atlantic-Congo,2,Atlantic-Congo,2
Nyoro,79,1,0,0,0,nyor1246,Atlantic-Congo,2,Atlantic-Congo,2
Oluluyia,80,0,0,1,0,cent2288,Atlantic-Congo,2,Atlantic-Congo,2
Oorlams,81,0,0,0,1,oorl1238,Indo-European,7,Indo-European-Afrikaans,5
Oromiffa or Oromigna,82,0,1,0,0,east2652,Afro-Asiatic,1,Afro-Asiatic,1
Pidgin Bantu,83,0,0,0,1,fana1235,Pidgin,12,Atlantic-Congo,2
Pokot,84,1,0,1,0,poko1263,Nilotic,11,Nilo-Saharan,7
Portuguese,85,1,1,1,1,port1283,Indo-European,7,West-Indo-European,8
Ronga,86,0,0,0,1,rong1268,Atlantic-Congo,2,Atlantic-Congo,2
Runyankole,87,1,0,0,0,nyan1307,Atlantic-Congo,2,Atlantic-Congo,2
Saamia,88,1,0,0,0,saam1283,Atlantic-Congo,2,Atlantic-Congo,2
Samburu,89,0,0,1,0,samb1315,Nilotic,11,Nilo-Saharan,7
Seroa,90,0,0,0,1,sero1239,Tuu,15,Khoisan,6
Shekkachigna,91,0,1,0,0,shek1244,Ta-Ne-Omotic,14,Afro-Asiatic,1
Shekogna,92,0,1,0,0,shek1245,Dizoid,4,Afro-Asiatic,1
Sidamigna,93,0,1,0,0,sida1246,Afro-Asiatic,1,Afro-Asiatic,1
Siltigna,94,0,1,0,0,silt1240,Afro-Asiatic,1,Afro-Asiatic,1
Soga,95,1,0,0,0,soga1242,Atlantic-Congo,2,Atlantic-Congo,2
Somali,96,0,0,1,0,soma1255,Afro-Asiatic,1,Afro-Asiatic,1
Somaligna,97,0,1,0,0,soma1255,Afro-Asiatic,1,Afro-Asiatic,1
Soo,98,1,0,0,0,sooo1256,Kuliak,9,Nilo-Saharan,7
Sotho- Northern or Sepedi,99,0,0,0,1,pedi1238,Atlantic-Congo,2,Atlantic-Congo,2
Sotho- Southern or Sesotho,100,0,0,0,1,sout2807,Atlantic-Congo,2,Atlantic-Congo,2
Swahili,101,1,0,0,1,swah1253,Atlantic-Congo,2,Atlantic-Congo,2
Swati or Siwati,102,0,0,0,1,swat1243,Atlantic-Congo,2,Atlantic-Congo,2
Tamil,103,0,0,0,1,tami1289,Dravidian,5,Dravidian,3
Taveta,104,0,0,1,0,tave1240,Atlantic-Congo,2,Atlantic-Congo,2
Teso,105,1,0,1,0,teso1249,Nilotic,11,Nilo-Saharan,7
Tigrigna,106,0,1,0,0,tigr1271,Afro-Asiatic,1,Afro-Asiatic,1
Tooro,107,1,0,0,0,toor1238,Atlantic-Congo,2,Atlantic-Congo,2
Tsonga or Xitsonga,108,0,0,0,1,tson1249,Atlantic-Congo,2,Atlantic-Congo,2
Tswa,109,0,0,0,1,tswa1255,Atlantic-Congo,2,Atlantic-Congo,2
Tswana or Setswana,110,0,0,0,1,tswa1253,Atlantic-Congo,2,Atlantic-Congo,2
Turkana,111,0,0,1,0,turk1308,Nilotic,11,Nilo-Saharan,7
Urdu,112,0,0,0,1,urdu1245,Indo-European,7,Indo-Aryan,4
Venda or Tshivenda,113,0,0,0,1,vend1245,Atlantic-Congo,2,Atlantic-Congo,2
Wolaytigna,114,0,1,0,0,wola1242,Ta-Ne-Omotic,14,Afro-Asiatic,1
Wolenigna,115,0,1,0,0,wola1253,Afro-Asiatic,1,Afro-Asiatic,1
Xhosa or isiXhosa,116,0,0,0,1,xhos1239,Atlantic-Congo,2,Atlantic-Congo,2
Xiri,117,0,0,0,1,xiri1242,Khoe-Kwadi,8,Khoisan,6
Yiddish,118,0,0,0,1,yidd1255,Indo-European,7,West-Indo-European,8
Zulu or isiZulu,119,0,0,0,1,zulu1248,Atlantic-Congo,2,Atlantic-Congo,2
Guragegna,120,0,1,0,0,seba1251,Afro-Asiatic,1,Afro-Asiatic,1
Rukiga,121,1,0,0,0,chig1238,Atlantic-Congo,2,Atlantic-Congo,2
Kinyarwanda/Runyarwanda,122,1,0,0,0,kiny1244,Atlantic-Congo,2,Atlantic-Congo,2
Shona,123,0,0,0,1,shon1251,Atlantic-Congo,2,Atlantic-Congo,2
Other (Describe),999,1,1,1,1,,NA,NA,NA,NA
Unknown,-777,1,1,1,1,,NA,NA,NA,NA
Chichewa,124,0,0,0,1,nyan1308,Atlantic-Congo,2,Atlantic-Congo,2
